Frame,ID_0,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9,ID_10,ID_11,ID_12,ID_13,ID_14,ID_15,ID_16,ID_17,ID_18,ID_19,ID_20,ID_21,ID_22,ID_23,ID_24,ID_25,ID_26,ID_27,ID_28,ID_29,ID_30,ID_31,ID_32
2024-05-08 12:04:38,"-0.000, -0.000, 0.000","-0.048, -0.263, 2.523","-0.035, -0.263, 2.523","-0.029, -0.262, 2.512","-0.000, -0.000, 0.000","-0.000, -0.000, 0.000","-0.000, -0.000, 0.000","-0.003, -0.248, 2.501","-0.000, -0.000, 0.000","-0.048, -0.196, 2.496","-0.000, -0.000, 0.000","0.089, -0.037, 2.545","-0.229, -0.077, 2.589","0.117, 0.222, 2.583","-0.444, -0.056, 2.528","0.102, 0.446, 2.539","-0.000, -0.000, 0.000","0.102, 0.516, 2.561","-0.000, -0.000, 0.000","0.089, 0.516, 2.561","-0.000, -0.000, 0.000","0.082, 0.494, 2.550","-0.000, -0.000, 0.000","-0.003, 0.449, 2.486","-0.177, 0.449, 2.517","0.023, 0.771, 2.556","-0.207, 0.787, 2.567","0.122, 1.202, 2.865","-0.261, 1.185, 2.791","0.092, 1.252, 2.844","-0.249, 1.203, 2.733","0.222, 1.188, 2.578","-0.253, 1.229, 2.567"
2024-05-08 12:04:38,"-0.068, -0.231, 2.528","-0.048, -0.264, 2.534","-0.035, -0.263, 2.528","-0.029, -0.263, 2.523","-0.000, -0.000, 0.000","-0.000, -0.000, 0.000","-0.000, -0.000, 0.000","-0.003, -0.248, 2.507","-0.000, -0.000, 0.000","-0.048, -0.197, 2.512","-0.000, -0.000, 0.000","0.089, -0.037, 2.567","-0.228, -0.077, 2.583","0.116, 0.227, 2.567","-0.465, -0.056, 2.534","0.102, 0.448, 2.550","-0.000, -0.000, 0.000","0.102, 0.520, 2.550","-0.000, -0.000, 0.000","0.083, 0.528, 2.556","-0.000, -0.000, 0.000","0.082, 0.500, 2.550","-0.000, -0.000, 0.000","-0.003, 0.450, 2.491","-0.179, 0.453, 2.539","0.037, 0.785, 2.583","-0.208, 0.789, 2.572","0.128, 1.193, 2.844","-0.264, 1.199, 2.824","0.092, 1.252, 2.844","-0.250, 1.208, 2.745","0.223, 1.193, 2.589","-0.251, 1.215, 2.539"
2024-05-08 12:04:38,"-0.067, -0.230, 2.512","-0.048, -0.263, 2.528","-0.035, -0.263, 2.528","-0.029, -0.263, 2.523","-0.000, -0.000, 0.000","-0.000, -0.000, 0.000","-0.000, -0.000, 0.000","-0.003, -0.248, 2.501","-0.000, -0.000, 0.000","-0.041, -0.196, 2.491","-0.000, -0.000, 0.000","0.089, -0.037, 2.567","-0.228, -0.077, 2.583","0.116, 0.227, 2.567","-0.471, -0.056, 2.534","0.102, 0.454, 2.550","-0.000, -0.000, 0.000","0.102, 0.526, 2.550","-0.000, -0.000, 0.000","0.083, 0.528, 2.556","-0.000, -0.000, 0.000","0.076, 0.508, 2.556","-0.000, -0.000, 0.000","0.004, 0.445, 2.496","-0.177, 0.442, 2.517","0.037, 0.791, 2.600","-0.207, 0.787, 2.567","0.129, 1.202, 2.865","-0.263, 1.196, 2.817","0.099, 1.246, 2.831","-0.249, 1.203, 2.733","0.217, 1.195, 2.595","-0.257, 1.213, 2.534"
2024-05-08 12:04:38,"-0.068, -0.231, 2.523","-0.048, -0.263, 2.528","-0.035, -0.263, 2.523","-0.029, -0.262, 2.517","-0.000, -0.000, 0.000","-0.000, -0.000, 0.000","-0.000, -0.000, 0.000","-0.003, -0.248, 2.501","-0.000, -0.000, 0.000","-0.041, -0.196, 2.501","-0.000, -0.000, 0.000","0.089, -0.037, 2.550","-0.226, -0.076, 2.561","0.116, 0.227, 2.567","-0.469, -0.049, 2.523","0.102, 0.456, 2.556","-0.000, -0.000, 0.000","0.102, 0.526, 2.550","-0.000, -0.000, 0.000","0.082, 0.533, 2.550","-0.000, -0.000, 0.000","0.076, 0.508, 2.556","-0.000, -0.000, 0.000","0.004, 0.448, 2.512","-0.178, 0.444, 2.528","0.037, 0.779, 2.561","-0.207, 0.785, 2.561","0.129, 1.196, 2.851","-0.263, 1.193, 2.810","0.098, 1.240, 2.817","-0.249, 1.203, 2.733","0.217, 1.195, 2.595","-0.260, 1.231, 2.572"
2024-05-08 12:04:38,"-0.068, -0.231, 2.528","-0.048, -0.263, 2.528","-0.035, -0.263, 2.528","-0.029, -0.263, 2.523","-0.000, -0.000, 0.000","-0.000, -0.000, 0.000","-0.000, -0.000, 0.000","-0.003, -0.249, 2.517","-0.000, -0.000, 0.000","-0.041, -0.197, 2.512","-0.000, -0.000, 0.000","0.090, -0.037, 2.595","-0.229, -0.077, 2.589","0.116, 0.227, 2.572","-0.468, -0.049, 2.517","0.102, 0.456, 2.556","-0.000, -0.000, 0.000","0.102, 0.525, 2.545","-0.000, -0.000, 0.000","0.082, 0.531, 2.539","-0.000, -0.000, 0.000","0.075, 0.504, 2.534","-0.000, -0.000, 0.000","0.004, 0.444, 2.491","-0.178, 0.445, 2.534","0.037, 0.780, 2.567","-0.207, 0.787, 2.567","0.128, 1.193, 2.844","-0.265, 1.202, 2.831","0.099, 1.252, 2.844","-0.248, 1.200, 2.726","0.216, 1.188, 2.578","-0.258, 1.221, 2.550"
2024-05-08 12:04:38,"-0.067, -0.230, 2.512","-0.048, -0.263, 2.528","-0.035, -0.263, 2.523","-0.029, -0.262, 2.517","-0.000, -0.000, 0.000","-0.000, -0.000, 0.000","-0.000, -0.000, 0.000","-0.003, -0.248, 2.507","-0.000, -0.000, 0.000","-0.041, -0.197, 2.507","-0.000, -0.000, 0.000","0.090, -0.037, 2.578","-0.235, -0.077, 2.583","0.116, 0.227, 2.572","-0.481, -0.050, 2.550","0.102, 0.456, 2.556","-0.000, -0.000, 0.000","0.102, 0.533, 2.550","-0.000, -0.000, 0.000","0.083, 0.534, 2.556","-0.000, -0.000, 0.000","0.076, 0.508, 2.556","-0.000, -0.000, 0.000","0.004, 0.446, 2.501","-0.177, 0.441, 2.512","0.037, 0.780, 2.567","-0.207, 0.785, 2.561","0.129, 1.199, 2.858","-0.263, 1.193, 2.810","0.098, 1.243, 2.824","-0.248, 1.200, 2.726","0.216, 1.188, 2.578","-0.258, 1.221, 2.550"
2024-05-08 12:04:38,"-0.067, -0.230, 2.512","-0.048, -0.263, 2.523","-0.035, -0.263, 2.523","-0.029, -0.263, 2.523","-0.000, -0.000, 0.000","-0.000, -0.000, 0.000","-0.000, -0.000, 0.000","-0.003, -0.249, 2.512","-0.000, -0.000, 0.000","-0.041, -0.196, 2.501","-0.000, -0.000, 0.000","0.089, -0.037, 2.561","-0.235, -0.077, 2.583","0.116, 0.227, 2.567","-0.475, -0.049, 2.517","0.102, 0.456, 2.556","-0.000, -0.000, 0.000","0.102, 0.535, 2.561","-0.000, -0.000, 0.000","0.083, 0.534, 2.556","-0.000, -0.000, 0.000","0.076, 0.515, 2.556","-0.000, -0.000, 0.000","0.004, 0.447, 2.507","-0.177, 0.442, 2.517","0.043, 0.780, 2.567","-0.207, 0.787, 2.567","0.128, 1.193, 2.844","-0.262, 1.188, 2.797","0.099, 1.246, 2.831","-0.249, 1.203, 2.733","0.216, 1.190, 2.583","-0.258, 1.218, 2.545"
2024-05-08 12:04:38,"-0.067, -0.230, 2.517","-0.048, -0.263, 2.528","-0.035, -0.263, 2.528","-0.029, -0.263, 2.523","-0.000, -0.000, 0.000","-0.000, -0.000, 0.000","-0.000, -0.000, 0.000","-0.003, -0.249, 2.512","-0.000, -0.000, 0.000","-0.041, -0.196, 2.496","-0.000, -0.000, 0.000","0.090, -0.037, 2.572","-0.234, -0.077, 2.572","0.123, 0.229, 2.589","-0.475, -0.049, 2.517","0.102, 0.454, 2.550","-0.000, -0.000, 0.000","0.102, 0.533, 2.550","-0.000, -0.000, 0.000","0.082, 0.532, 2.545","-0.000, -0.000, 0.000","0.075, 0.510, 2.534","-0.000, -0.000, 0.000","0.010, 0.447, 2.507","-0.178, 0.444, 2.528","0.043, 0.789, 2.572","-0.208, 0.797, 2.578","0.129, 1.204, 2.851","-0.262, 1.195, 2.797","0.099, 1.252, 2.844","-0.247, 1.197, 2.720","0.216, 1.194, 2.578","-0.259, 1.223, 2.556"
2024-05-08 12:04:39,"-0.067, -0.230, 2.512","-0.048, -0.263, 2.528","-0.035, -0.263, 2.523","-0.029, -0.262, 2.517","-0.000, -0.000, 0.000","-0.000, -0.000, 0.000","-0.000, -0.000, 0.000","-0.003, -0.248, 2.507","-0.000, -0.000, 0.000","-0.041, -0.196, 2.496","-0.000, -0.000, 0.000","0.090, -0.037, 2.572","-0.235, -0.077, 2.578","0.123, 0.235, 2.583","-0.479, -0.049, 2.539","0.102, 0.454, 2.550","-0.000, -0.000, 0.000","0.102, 0.534, 2.556","-0.000, -0.000, 0.000","0.083, 0.537, 2.567","-0.000, -0.000, 0.000","0.076, 0.517, 2.567","-0.000, -0.000, 0.000","0.010, 0.445, 2.496","-0.177, 0.441, 2.512","0.043, 0.789, 2.572","-0.207, 0.792, 2.561","0.128, 1.201, 2.844","-0.263, 1.204, 2.817","0.099, 1.249, 2.837","-0.249, 1.203, 2.733","0.216, 1.194, 2.578","-0.258, 1.221, 2.550"
2024-05-08 12:04:39,"-0.068, -0.233, 2.545","-0.048, -0.264, 2.534","-0.035, -0.263, 2.528","-0.029, -0.263, 2.523","-0.000, -0.000, 0.000","-0.000, -0.000, 0.000","-0.000, -0.000, 0.000","-0.003, -0.249, 2.512","-0.000, -0.000, 0.000","-0.042, -0.198, 2.517","-0.000, -0.000, 0.000","0.096, -0.037, 2.556","-0.235, -0.077, 2.578","0.124, 0.236, 2.595","-0.478, -0.049, 2.534","0.102, 0.454, 2.545","-0.000, -0.000, 0.000","0.101, 0.530, 2.534","-0.000, -0.000, 0.000","0.082, 0.531, 2.539","-0.000, -0.000, 0.000","0.076, 0.512, 2.545","-0.000, -0.000, 0.000","0.010, 0.445, 2.496","-0.177, 0.440, 2.507","0.044, 0.792, 2.583","-0.201, 0.797, 2.578","0.129, 1.204, 2.851","-0.271, 1.207, 2.824","0.098, 1.243, 2.824","-0.248, 1.200, 2.726","0.217, 1.202, 2.595","-0.257, 1.215, 2.539"
2024-05-08 12:04:39,"-0.067, -0.230, 2.512","-0.048, -0.263, 2.523","-0.035, -0.263, 2.523","-0.029, -0.262, 2.517","-0.000, -0.000, 0.000","-0.000, -0.000, 0.000","-0.000, -0.000, 0.000","-0.003, -0.249, 2.517","-0.000, -0.000, 0.000","-0.041, -0.196, 2.501","-0.000, -0.000, 0.000","0.096, -0.037, 2.556","-0.235, -0.077, 2.578","0.123, 0.235, 2.583","-0.475, -0.049, 2.517","0.102, 0.462, 2.556","-0.000, -0.000, 0.000","0.102, 0.532, 2.545","-0.000, -0.000, 0.000","0.076, 0.539, 2.545","-0.000, -0.000, 0.000","0.076, 0.513, 2.550","-0.000, -0.000, 0.000","0.010, 0.445, 2.496","-0.178, 0.445, 2.534","0.044, 0.801, 2.612","-0.208, 0.797, 2.578","0.129, 1.209, 2.865","-0.269, 1.198, 2.804","0.099, 1.249, 2.837","-0.247, 1.197, 2.720","0.216, 1.197, 2.583","-0.258, 1.221, 2.550"
2024-05-08 12:04:39,"-0.067, -0.230, 2.517","-0.048, -0.263, 2.528","-0.035, -0.263, 2.523","-0.029, -0.262, 2.517","-0.000, -0.000, 0.000","-0.000, -0.000, 0.000","-0.000, -0.000, 0.000","-0.003, -0.249, 2.512","-0.000, -0.000, 0.000","-0.041, -0.196, 2.501","-0.000, -0.000, 0.000","0.096, -0.037, 2.572","-0.235, -0.077, 2.578","0.122, 0.233, 2.567","-0.481, -0.050, 2.550","0.095, 0.459, 2.539","-0.000, -0.000, 0.000","0.102, 0.532, 2.545","-0.000, -0.000, 0.000","0.076, 0.540, 2.550","-0.000, -0.000, 0.000","0.076, 0.513, 2.550","-0.000, -0.000, 0.000","0.010, 0.445, 2.496","-0.177, 0.449, 2.517","0.044, 0.797, 2.600","-0.207, 0.792, 2.561","0.129, 1.209, 2.865","-0.271, 1.204, 2.817","0.099, 1.249, 2.837","-0.249, 1.203, 2.733","0.216, 1.197, 2.583","-0.257, 1.215, 2.539"
2024-05-08 12:04:39,"-0.067, -0.230, 2.517","-0.048, -0.263, 2.528","-0.035, -0.262, 2.517","-0.029, -0.262, 2.512","-0.000, -0.000, 0.000","-0.000, -0.000, 0.000","-0.000, -0.000, 0.000","-0.003, -0.248, 2.507","-0.000, -0.000, 0.000","-0.041, -0.196, 2.501","-0.000, -0.000, 0.000","0.096, -0.037, 2.578","-0.235, -0.077, 2.578","0.123, 0.235, 2.583","-0.477, -0.049, 2.528","0.095, 0.459, 2.539","-0.000, -0.000, 0.000","0.102, 0.531, 2.539","-0.000, -0.000, 0.000","0.076, 0.539, 2.545","-0.000, -0.000, 0.000","0.075, 0.511, 2.539","-0.000, -0.000, 0.000","0.010, 0.445, 2.496","-0.177, 0.448, 2.512","0.044, 0.796, 2.595","-0.206, 0.788, 2.550","0.128, 1.198, 2.837","-0.271, 1.204, 2.817","0.098, 1.240, 2.817","-0.248, 1.200, 2.726","0.216, 1.194, 2.578","-0.258, 1.221, 2.550"
2024-05-08 12:04:39,"-0.068, -0.232, 2.534","-0.048, -0.264, 2.534","-0.035, -0.263, 2.528","-0.029, -0.262, 2.517","-0.000, -0.000, 0.000","-0.000, -0.000, 0.000","-0.000, -0.000, 0.000","-0.003, -0.249, 2.517","-0.000, -0.000, 0.000","-0.041, -0.197, 2.507","-0.000, -0.000, 0.000","0.096, -0.037, 2.561","-0.234, -0.076, 2.567","0.123, 0.234, 2.572","-0.475, -0.049, 2.517","0.095, 0.461, 2.550","-0.000, -0.000, 0.000","0.102, 0.531, 2.539","-0.000, -0.000, 0.000","0.075, 0.537, 2.539","-0.000, -0.000, 0.000","0.076, 0.512, 2.545","-0.000, -0.000, 0.000","0.010, 0.444, 2.491","-0.178, 0.450, 2.523","0.044, 0.796, 2.595","-0.207, 0.794, 2.567","0.129, 1.207, 2.858","-0.270, 1.201, 2.810","0.099, 1.246, 2.831","-0.249, 1.203, 2.733","0.215, 1.189, 2.567","-0.258, 1.221, 2.550"
2024-05-08 12:04:39,"-0.067, -0.230, 2.512","-0.048, -0.262, 2.517","-0.035, -0.262, 2.517","-0.029, -0.262, 2.512","-0.000, -0.000, 0.000","-0.000, -0.000, 0.000","-0.000, -0.000, 0.000","-0.003, -0.248, 2.507","-0.000, -0.000, 0.000","-0.041, -0.197, 2.507","-0.000, -0.000, 0.000","0.096, -0.037, 2.572","-0.234, -0.076, 2.567","0.122, 0.233, 2.561","-0.480, -0.050, 2.545","0.096, 0.462, 2.556","-0.000, -0.000, 0.000","0.102, 0.532, 2.545","-0.000, -0.000, 0.000","0.075, 0.537, 2.539","-0.000, -0.000, 0.000","0.076, 0.512, 2.545","-0.000, -0.000, 0.000","0.010, 0.445, 2.496","-0.178, 0.450, 2.523","0.044, 0.792, 2.583","-0.207, 0.794, 2.567","0.128, 1.198, 2.837","-0.271, 1.204, 2.817","0.098, 1.240, 2.817","-0.249, 1.203, 2.733","0.217, 1.199, 2.589","-0.258, 1.221, 2.550"
2024-05-08 12:04:39,"-0.067, -0.230, 2.517","-0.048, -0.263, 2.523","-0.035, -0.263, 2.523","-0.029, -0.262, 2.512","-0.000, -0.000, 0.000","-0.000, -0.000, 0.000","-0.000, -0.000, 0.000","-0.003, -0.249, 2.512","-0.000, -0.000, 0.000","-0.041, -0.196, 2.501","-0.000, -0.000, 0.000","0.096, -0.037, 2.578","-0.235, -0.077, 2.583","0.123, 0.235, 2.583","-0.478, -0.049, 2.534","0.095, 0.461, 2.550","-0.000, -0.000, 0.000","0.102, 0.531, 2.539","-0.000, -0.000, 0.000","0.075, 0.536, 2.534","-0.000, -0.000, 0.000","0.075, 0.511, 2.539","-0.000, -0.000, 0.000","0.010, 0.446, 2.501","-0.178, 0.450, 2.523","0.044, 0.799, 2.606","-0.207, 0.794, 2.567","0.129, 1.204, 2.851","-0.271, 1.204, 2.817","0.099, 1.246, 2.831","-0.247, 1.197, 2.720","0.216, 1.197, 2.583","-0.257, 1.215, 2.539"
2024-05-08 12:04:39,"-0.067, -0.230, 2.517","-0.048, -0.263, 2.523","-0.035, -0.263, 2.523","-0.029, -0.262, 2.512","-0.000, -0.000, 0.000","-0.000, -0.000, 0.000","-0.000, -0.000, 0.000","-0.003, -0.249, 2.512","-0.000, -0.000, 0.000","-0.041, -0.196, 2.501","-0.000, -0.000, 0.000","0.096, -0.037, 2.578","-0.235, -0.077, 2.583","0.123, 0.235, 2.583","-0.478, -0.049, 2.534","0.095, 0.461, 2.550","-0.000, -0.000, 0.000","0.102, 0.531, 2.539","-0.000, -0.000, 0.000","0.075, 0.536, 2.534","-0.000, -0.000, 0.000","0.069, 0.510, 2.534","-0.000, -0.000, 0.000","0.010, 0.453, 2.507","-0.178, 0.450, 2.523","0.044, 0.799, 2.606","-0.207, 0.794, 2.567","0.129, 1.204, 2.851","-0.271, 1.204, 2.817","0.099, 1.246, 2.831","-0.247, 1.197, 2.720","0.216, 1.197, 2.583","-0.257, 1.215, 2.539"
2024-05-08 12:04:39,"-0.067, -0.230, 2.517","-0.048, -0.263, 2.523","-0.035, -0.263, 2.523","-0.029, -0.262, 2.512","-0.000, -0.000, 0.000","-0.000, -0.000, 0.000","-0.000, -0.000, 0.000","-0.003, -0.249, 2.512","-0.000, -0.000, 0.000","-0.041, -0.196, 2.501","-0.000, -0.000, 0.000","0.096, -0.037, 2.578","-0.235, -0.077, 2.583","0.123, 0.235, 2.583","-0.478, -0.049, 2.534","0.095, 0.461, 2.550","-0.000, -0.000, 0.000","0.102, 0.531, 2.539","-0.000, -0.000, 0.000","0.075, 0.536, 2.534","-0.000, -0.000, 0.000","0.069, 0.510, 2.534","-0.000, -0.000, 0.000","0.010, 0.453, 2.507","-0.178, 0.450, 2.523","0.044, 0.799, 2.606","-0.207, 0.794, 2.567","0.129, 1.204, 2.851","-0.271, 1.204, 2.817","0.099, 1.246, 2.831","-0.247, 1.197, 2.720","0.216, 1.197, 2.583","-0.257, 1.215, 2.539"
2024-05-08 12:04:39,"-0.067, -0.230, 2.517","-0.048, -0.263, 2.523","-0.035, -0.263, 2.523","-0.029, -0.262, 2.512","-0.000, -0.000, 0.000","-0.000, -0.000, 0.000","-0.000, -0.000, 0.000","-0.003, -0.249, 2.512","-0.000, -0.000, 0.000","-0.041, -0.196, 2.501","-0.000, -0.000, 0.000","0.096, -0.037, 2.578","-0.235, -0.077, 2.583","0.123, 0.235, 2.583","-0.478, -0.049, 2.534","0.095, 0.461, 2.550","-0.000, -0.000, 0.000","0.102, 0.531, 2.539","-0.000, -0.000, 0.000","0.075, 0.536, 2.534","-0.000, -0.000, 0.000","0.069, 0.510, 2.534","-0.000, -0.000, 0.000","0.010, 0.453, 2.507","-0.178, 0.450, 2.523","0.044, 0.799, 2.606","-0.207, 0.794, 2.567","0.129, 1.204, 2.851","-0.271, 1.204, 2.817","0.099, 1.246, 2.831","-0.247, 1.197, 2.720","0.216, 1.197, 2.583","-0.257, 1.215, 2.539"
2024-05-08 12:04:39,"-0.067, -0.230, 2.517","-0.048, -0.263, 2.523","-0.035, -0.263, 2.523","-0.029, -0.262, 2.512","-0.000, -0.000, 0.000","-0.000, -0.000, 0.000","-0.000, -0.000, 0.000","-0.003, -0.249, 2.512","-0.000, -0.000, 0.000","-0.041, -0.196, 2.501","-0.000, -0.000, 0.000","0.096, -0.037, 2.578","-0.235, -0.077, 2.583","0.123, 0.235, 2.583","-0.478, -0.049, 2.534","0.095, 0.461, 2.550","-0.000, -0.000, 0.000","0.102, 0.531, 2.539","-0.000, -0.000, 0.000","0.075, 0.536, 2.534","-0.000, -0.000, 0.000","0.075, 0.511, 2.539","-0.000, -0.000, 0.000","0.010, 0.453, 2.507","-0.178, 0.450, 2.523","0.044, 0.799, 2.606","-0.207, 0.794, 2.567","0.129, 1.204, 2.851","-0.271, 1.204, 2.817","0.099, 1.246, 2.831","-0.247, 1.197, 2.720","0.216, 1.197, 2.583","-0.257, 1.215, 2.539"
2024-05-08 12:04:39,"-0.067, -0.230, 2.517","-0.048, -0.263, 2.523","-0.035, -0.263, 2.523","-0.029, -0.262, 2.512","-0.000, -0.000, 0.000","-0.000, -0.000, 0.000","-0.000, -0.000, 0.000","-0.003, -0.249, 2.512","-0.000, -0.000, 0.000","-0.041, -0.196, 2.501","-0.000, -0.000, 0.000","0.096, -0.030, 2.572","-0.235, -0.077, 2.583","0.123, 0.235, 2.583","-0.478, -0.049, 2.534","0.095, 0.461, 2.550","-0.000, -0.000, 0.000","0.102, 0.531, 2.539","-0.000, -0.000, 0.000","0.075, 0.536, 2.534","-0.000, -0.000, 0.000","0.075, 0.511, 2.539","-0.000, -0.000, 0.000","0.010, 0.453, 2.507","-0.178, 0.450, 2.523","0.044, 0.799, 2.606","-0.207, 0.794, 2.567","0.129, 1.204, 2.851","-0.271, 1.204, 2.817","0.099, 1.246, 2.831","-0.247, 1.197, 2.720","0.216, 1.197, 2.583","-0.257, 1.215, 2.539"
2024-05-08 12:04:39,"-0.067, -0.230, 2.517","-0.048, -0.263, 2.523","-0.035, -0.263, 2.523","-0.029, -0.262, 2.512","-0.000, -0.000, 0.000","-0.000, -0.000, 0.000","-0.000, -0.000, 0.000","-0.003, -0.249, 2.512","-0.000, -0.000, 0.000","-0.041, -0.196, 2.501","-0.000, -0.000, 0.000","0.096, -0.030, 2.572","-0.235, -0.077, 2.583","0.123, 0.235, 2.583","-0.478, -0.049, 2.534","0.095, 0.461, 2.550","-0.000, -0.000, 0.000","0.102, 0.537, 2.539","-0.000, -0.000, 0.000","0.075, 0.536, 2.534","-0.000, -0.000, 0.000","0.069, 0.510, 2.534","-0.000, -0.000, 0.000","0.010, 0.453, 2.507","-0.178, 0.450, 2.523","0.044, 0.799, 2.606","-0.207, 0.794, 2.567","0.129, 1.204, 2.851","-0.271, 1.204, 2.817","0.099, 1.246, 2.831","-0.247, 1.197, 2.720","0.216, 1.197, 2.583","-0.257, 1.215, 2.539"
2024-05-08 12:04:39,"-0.067, -0.230, 2.517","-0.048, -0.263, 2.523","-0.035, -0.263, 2.523","-0.029, -0.262, 2.512","-0.000, -0.000, 0.000","-0.000, -0.000, 0.000","-0.000, -0.000, 0.000","-0.003, -0.249, 2.512","-0.000, -0.000, 0.000","-0.041, -0.196, 2.501","-0.000, -0.000, 0.000","0.096, -0.030, 2.572","-0.235, -0.077, 2.583","0.123, 0.235, 2.583","-0.478, -0.049, 2.534","0.095, 0.461, 2.550","-0.000, -0.000, 0.000","0.102, 0.537, 2.539","-0.000, -0.000, 0.000","0.075, 0.536, 2.534","-0.000, -0.000, 0.000","0.069, 0.510, 2.534","-0.000, -0.000, 0.000","0.010, 0.453, 2.507","-0.178, 0.450, 2.523","0.044, 0.799, 2.606","-0.207, 0.794, 2.567","0.129, 1.204, 2.851","-0.271, 1.204, 2.817","0.099, 1.246, 2.831","-0.247, 1.197, 2.720","0.216, 1.197, 2.583","-0.257, 1.215, 2.539"
2024-05-08 12:04:39,"-0.067, -0.230, 2.517","-0.048, -0.263, 2.523","-0.035, -0.263, 2.523","-0.029, -0.262, 2.512","-0.000, -0.000, 0.000","-0.000, -0.000, 0.000","-0.000, -0.000, 0.000","-0.003, -0.249, 2.512","-0.000, -0.000, 0.000","-0.041, -0.196, 2.501","-0.000, -0.000, 0.000","0.096, -0.030, 2.572","-0.235, -0.077, 2.583","0.123, 0.235, 2.583","-0.478, -0.049, 2.534","0.095, 0.461, 2.550","-0.000, -0.000, 0.000","0.102, 0.537, 2.539","-0.000, -0.000, 0.000","0.075, 0.536, 2.534","-0.000, -0.000, 0.000","0.069, 0.510, 2.534","-0.000, -0.000, 0.000","0.010, 0.453, 2.507","-0.178, 0.450, 2.523","0.044, 0.799, 2.606","-0.207, 0.794, 2.567","0.129, 1.204, 2.851","-0.271, 1.204, 2.817","0.099, 1.246, 2.831","-0.247, 1.197, 2.720","0.216, 1.197, 2.583","-0.257, 1.215, 2.539"
2024-05-08 12:04:39,"-0.067, -0.230, 2.517","-0.048, -0.263, 2.523","-0.035, -0.263, 2.523","-0.029, -0.262, 2.512","-0.000, -0.000, 0.000","-0.000, -0.000, 0.000","-0.000, -0.000, 0.000","-0.003, -0.249, 2.512","-0.000, -0.000, 0.000","-0.041, -0.196, 2.501","-0.000, -0.000, 0.000","0.096, -0.030, 2.572","-0.235, -0.077, 2.583","0.123, 0.235, 2.583","-0.478, -0.049, 2.534","0.095, 0.461, 2.550","-0.000, -0.000, 0.000","0.102, 0.537, 2.539","-0.000, -0.000, 0.000","0.075, 0.536, 2.534","-0.000, -0.000, 0.000","0.069, 0.510, 2.534","-0.000, -0.000, 0.000","0.010, 0.453, 2.507","-0.178, 0.450, 2.523","0.044, 0.799, 2.606","-0.207, 0.794, 2.567","0.129, 1.204, 2.851","-0.271, 1.204, 2.817","0.099, 1.246, 2.831","-0.247, 1.197, 2.720","0.216, 1.197, 2.583","-0.257, 1.215, 2.539"
2024-05-08 12:04:39,"-0.067, -0.230, 2.517","-0.048, -0.263, 2.523","-0.035, -0.263, 2.523","-0.029, -0.262, 2.512","-0.000, -0.000, 0.000","-0.000, -0.000, 0.000","-0.000, -0.000, 0.000","-0.009, -0.248, 2.507","-0.000, -0.000, 0.000","-0.041, -0.196, 2.501","-0.000, -0.000, 0.000","0.096, -0.030, 2.572","-0.235, -0.077, 2.583","0.123, 0.235, 2.583","-0.478, -0.049, 2.534","0.095, 0.461, 2.550","-0.000, -0.000, 0.000","0.102, 0.537, 2.539","-0.000, -0.000, 0.000","0.075, 0.536, 2.534","-0.000, -0.000, 0.000","0.069, 0.510, 2.534","-0.000, -0.000, 0.000","0.010, 0.453, 2.507","-0.178, 0.450, 2.523","0.044, 0.799, 2.606","-0.207, 0.794, 2.567","0.129, 1.204, 2.851","-0.271, 1.204, 2.817","0.099, 1.246, 2.831","-0.247, 1.197, 2.720","0.216, 1.197, 2.583","-0.257, 1.215, 2.539"
2024-05-08 12:04:39,"-0.067, -0.230, 2.517","-0.048, -0.263, 2.523","-0.035, -0.263, 2.523","-0.029, -0.262, 2.512","-0.000, -0.000, 0.000","-0.000, -0.000, 0.000","-0.000, -0.000, 0.000","-0.009, -0.248, 2.507","-0.000, -0.000, 0.000","-0.041, -0.196, 2.501","-0.000, -0.000, 0.000","0.096, -0.030, 2.572","-0.235, -0.077, 2.583","0.123, 0.235, 2.583","-0.478, -0.049, 2.534","0.095, 0.461, 2.550","-0.000, -0.000, 0.000","0.102, 0.537, 2.539","-0.000, -0.000, 0.000","0.075, 0.536, 2.534","-0.000, -0.000, 0.000","0.069, 0.510, 2.534","-0.000, -0.000, 0.000","0.010, 0.453, 2.507","-0.178, 0.450, 2.523","0.044, 0.799, 2.606","-0.207, 0.794, 2.567","0.129, 1.204, 2.851","-0.271, 1.204, 2.817","0.099, 1.246, 2.831","-0.247, 1.197, 2.720","0.216, 1.197, 2.583","-0.257, 1.215, 2.539"
